date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-09-25,66,132,79,2232640,50
2026-09-26,68,175,88,2973750,63
2026-09-27,25,97,53,1605288,24
2026-09-28,60,80,52,1198833,45
2026-09-29,44,100,60,1591260,43
2026-09-30,23,98,61,1394085,22
2026-10-01,57,76,54,1043825,26
2026-10-02,31,126,70,2043135,29
2026-10-03,56,165,87,3197270,53
2026-10-04,20,102,59,1336470,19
2026-10-05,34,94,56,1631150,31
2026-10-06,25,95,61,1507785,22
2026-10-07,32,103,68,1596525,29
2026-10-08,21,134,72,1960940,19
2026-10-09,41,127,79,1845120,41
2026-10-10,44,176,89,3855040,40
2026-10-11,43,164,91,3319635,43
2026-10-12,25,111,53,1646503,22
2026-10-13,23,92,59,1228788,22
2026-10-14,21,38,24,726043,20
2026-10-15,20,82,54,1472750,18
2026-10-16,38,129,81,2069568,37
2026-10-17,60,171,86,3456119,59
2026-10-18,33,136,90,2282150,25
2026-10-19,31,106,91,1947550,25
2026-10-20,23,110,70,1450670,18
2026-10-21,19,104,75,1340830,19
2026-10-22,29,148,103,2161920,28
2026-10-23,50,152,90,2064300,45
2026-10-24,35,158,99,2848775,29
2026-10-25,38,145,88,2386900,30
2026-10-26,48,99,82,1515590,32
2026-10-27,16,81,65,1401220,14
2026-10-28,15,66,62,906200,12
2026-10-29,19,66,55,1057220,18
2026-10-30,28,124,73,1901860,25
2026-10-31,47,141,73,2881635,42
2026-11-01,58,74,49,1614570,28
2026-11-02,22,70,30,1478280,21
2026-11-03,5,20,11,354690,5
2026-11-04,16,66,40,1154000,15
2026-11-05,12,63,59,1065500,11
2026-11-06,16,88,64,907550,13
2026-11-07,23,104,40,1865710,23
2026-11-08,20,71,54,1654841,17
2026-11-09,33,68,42,2004821,32
2026-11-10,16,75,39,1640141,16
2026-11-11,18,95,41,1481641,15
2026-11-12,26,76,74,1861091,25
2026-11-13,32,155,93,3179400,32
2026-11-14,36,165,75,4398375,35
2026-11-15,48,127,68,2420200,36
2026-11-16,22,69,37,1249430,20
2026-11-17,15,90,43,1382160,15
2026-11-18,22,120,69,2119300,18
2026-11-19,24,87,59,1283951,23
2026-11-20,31,103,55,2359941,27
2026-11-21,37,135,63,2132100,32
2026-11-22,30,182,78,4018949,29
2026-11-23,30,111,48,1752336,23
2026-11-24,21,57,34,1357626,13
2026-11-25,13,116,68,1803500,13
2026-11-26,16,100,60,1962250,13
2026-11-27,31,115,59,1568260,29
2026-11-28,21,91,50,1865450,20
2026-11-29,18,50,24,1094750,17
2026-11-30,14,84,67,1662300,14
2026-12-01,45,28,58,512290,11
2026-12-02,10,132,57,1817950,10
2026-12-03,16,22,18,188650,16
2026-12-04,22,80,59,1233500,20
2026-12-05,27,97,38,2597960,27
2026-12-06,23,82,53,829400,15
2026-12-07,22,22,36,423350,10
2026-12-08,7,49,30,1229810,7
2026-12-09,16,58,35,1092500,15
2026-12-10,13,99,57,1456400,13
2026-12-11,13,62,38,1183710,13
2026-12-12,10,83,40,1136814,9
2026-12-13,25,73,56,1770610,16
2026-12-14,11,41,25,996850,8
2026-12-15,1,7,7,58850,1
2026-12-16,7,18,13,246050,6
2026-12-17,5,30,32,430650,5
2026-12-18,7,59,32,1303650,7
2026-12-19,10,31,15,697510,10
2026-12-20,16,47,26,626010,8
2026-12-21,5,19,26,353560,5
2026-12-22,4,42,24,745360,4
2026-12-23,3,4,2,97000,2
2026-12-24,0,2,1,20000,0
