date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-02-13,54,75,46,1011285,20
2026-02-14,19,71,26,1492040,19
2026-02-15,11,52,20,793100,11
2026-02-16,21,30,22,398530,18
2026-02-17,22,46,29,642400,15
2026-02-18,19,62,41,805376,17
2026-02-19,16,74,41,938025,14
2026-02-20,13,78,49,1078220,13
2026-02-21,7,23,9,628100,7
2026-02-22,20,79,40,1419660,18
2026-02-23,22,54,23,1053030,8
2026-02-24,27,53,43,627824,18
2026-02-25,15,48,53,739970,13
2026-02-26,14,35,35,335390,14
2026-02-27,19,92,68,1244760,16
2026-02-28,17,56,29,955240,17
2026-03-01,13,36,35,555720,11
2026-03-02,20,96,61,1721170,17
2026-03-03,78,101,69,1332320,16
2026-03-04,16,31,27,319220,14
2026-03-05,15,47,43,592730,15
2026-03-06,17,77,57,1160390,17
2026-03-07,34,80,59,1409870,34
2026-03-08,9,49,42,757790,8
2026-03-09,12,18,12,241010,7
2026-03-10,16,34,36,407770,8
2026-03-11,6,31,43,413270,6
2026-03-12,39,39,41,499730,12
2026-03-13,23,66,48,934395,20
2026-03-14,15,74,55,1276715,15
2026-03-15,16,68,45,978900,16
2026-03-16,3,12,6,153340,3
2026-03-17,11,57,53,722590,11
2026-03-18,8,23,13,314160,8
2026-03-19,2,24,47,302060,2
2026-03-20,23,94,64,1571790,23
2026-03-21,25,63,44,1016785,18
2026-03-22,36,34,22,436260,9
2026-03-23,11,42,32,473781,9
2026-03-24,4,38,45,431101,4
2026-03-25,17,59,49,725538,16
2026-03-26,23,35,27,440055,11
2026-03-27,27,64,44,766085,14
2026-03-28,12,57,42,874565,12
2026-03-29,14,48,42,682660,14
2026-03-30,24,40,42,520574,16
2026-03-31,4,37,31,463320,4
2026-04-01,66,21,13,209550,7
2026-04-02,0,11,7,98230,0
2026-04-03,1,38,21,476080,1
2026-04-04,3,26,10,294580,3
2026-04-05,16,44,27,556050,7
2026-04-06,6,49,29,614680,6
2026-04-07,6,47,29,577830,6
2026-04-08,10,78,48,1103960,9
2026-04-09,0,13,8,118800,0
2026-04-10,8,57,29,723745,8
2026-04-11,3,20,14,356400,3
2026-04-12,14,71,54,1106380,6
2026-04-13,12,72,42,974930,6
2026-04-14,4,7,7,66935,1
2026-04-15,11,10,10,106535,2
2026-04-16,0,8,8,75735,0
2026-04-17,13,63,43,842105,10
2026-04-18,24,73,38,1055890,23
2026-04-19,12,12,8,127050,4
2026-04-20,6,23,17,292100,6
2026-04-21,4,57,37,255805,4
2026-04-22,2,9,7,114400,2
2026-04-23,1,5,5,45650,1
2026-04-24,1,36,20,491700,1
2026-04-25,7,16,8,284184,7
2026-04-26,4,52,31,955900,4
2026-04-27,0,1,1,8800,0
2026-04-28,0,1,1,11000,0
2026-04-29,3,5,4,61600,3
2026-04-30,5,10,6,132990,5
2026-05-01,35,18,9,216260,7
2026-05-02,4,9,5,177100,3
2026-05-03,10,25,13,491700,10
2026-05-04,8,36,22,780780,7
2026-05-05,2,4,4,43450,2
2026-05-06,2,3,3,25960,2
2026-05-07,3,6,6,79200,2
2026-05-08,6,41,24,560230,5
2026-05-09,2,73,31,1198670,2
2026-05-10,19,11,8,139204,7
2026-05-11,3,40,23,531300,2
2026-05-12,0,0,0,0,0
2026-05-13,0,0,0,0,0
2026-05-14,0,0,0,0,0
2026-05-15,0,0,0,0,0
