date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-03-02,82,182,121,3520180,79
2026-03-03,107,157,107,2398576,67
2026-03-04,87,113,96,1500085,82
2026-03-05,81,120,96,1687320,78
2026-03-06,79,187,123,2779000,79
2026-03-07,99,165,105,3115140,98
2026-03-08,86,152,109,2628020,72
2026-03-09,65,89,73,1423980,61
2026-03-10,43,82,64,1595732,34
2026-03-11,35,89,60,1058032,33
2026-03-12,87,98,71,1701104,55
2026-03-13,62,130,84,2633401,57
2026-03-14,50,148,76,3136448,50
2026-03-15,55,130,85,2306756,55
2026-03-16,59,91,58,1230340,54
2026-03-17,43,115,69,1824854,41
2026-03-18,36,61,45,1034890,35
2026-03-19,53,105,100,2095150,52
2026-03-20,92,204,133,3716582,91
2026-03-21,71,164,100,3239237,68
2026-03-22,68,93,57,1230410,41
2026-03-23,53,108,75,1268161,49
2026-03-24,44,112,87,1446001,41
2026-03-25,51,102,83,1273692,48
2026-03-26,96,172,110,3352845,82
2026-03-27,68,152,73,2589550,55
2026-03-28,60,155,74,2634049,60
2026-03-29,47,121,79,1963210,47
2026-03-30,53,90,54,1353274,45
2026-03-31,24,67,52,968860,24
2026-04-01,129,62,45,852430,40
2026-04-02,33,60,40,966440,33
2026-04-03,38,93,54,1219580,33
2026-04-04,35,104,49,1619960,34
2026-04-05,39,68,41,713460,30
2026-04-06,35,95,56,1404230,33
2026-04-07,59,138,84,1983530,59
2026-04-08,38,112,74,1541806,35
2026-04-09,19,34,28,562486,19
2026-04-10,32,105,57,1215491,32
2026-04-11,37,92,53,1747870,37
2026-04-12,40,118,81,1769500,30
2026-04-13,31,109,66,1392470,25
2026-04-14,21,65,43,879270,21
2026-04-15,36,42,35,1007420,27
2026-04-16,24,70,51,882063,22
2026-04-17,35,111,66,1639593,32
2026-04-18,85,177,110,1741723,84
2026-04-19,37,80,41,1142522,29
2026-04-20,24,63,46,976550,24
2026-04-21,27,91,58,785177,24
2026-04-22,17,36,25,476290,17
2026-04-23,18,60,39,966860,18
2026-04-24,15,60,36,840410,15
2026-04-25,30,60,31,1235734,29
2026-04-26,14,68,42,1098730,13
2026-04-27,6,12,9,235930,6
2026-04-28,8,15,10,198154,8
2026-04-29,18,19,13,257750,10
2026-04-30,19,61,38,921800,19
2026-05-01,54,51,30,1070820,26
2026-05-02,38,93,60,1902658,33
2026-05-03,54,127,83,2870458,53
2026-05-04,43,107,81,2597518,40
2026-05-05,21,55,52,1085658,21
2026-05-06,11,15,14,143550,11
2026-05-07,8,9,9,74110,8
2026-05-08,14,52,31,679997,13
2026-05-09,11,94,40,1605000,11
2026-05-10,26,25,15,441934,14
2026-05-11,11,49,27,624300,6
2026-05-12,28,127,65,1486400,27
2026-05-13,4,24,12,326800,4
2026-05-14,7,29,14,270200,7
2026-05-15,18,26,19,403670,18
2026-05-16,71,231,132,1268930,71
2026-05-17,34,91,52,1598760,21
2026-05-18,8,96,47,1059500,8
2026-05-19,9,46,26,443600,9
2026-05-20,4,22,11,106100,4
2026-05-21,9,29,15,213010,8
2026-05-22,5,37,21,580000,5
2026-05-23,37,100,48,1967147,33
2026-05-24,31,32,24,380570,19
2026-05-25,11,79,48,1117030,11
2026-05-26,9,14,13,118990,9
2026-05-27,9,30,19,133180,9
2026-05-28,9,24,12,89180,9
2026-05-29,12,29,15,711580,12
2026-05-30,6,20,8,404400,6
2026-05-31,0,0,0,0,0
