date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-09-21,87,238,99,5311236,86
2026-09-22,90,249,99,4753575,90
2026-09-23,29,106,57,1997420,24
2026-09-24,42,74,46,1432906,40
2026-09-25,58,122,70,2103060,44
2026-09-26,62,165,80,2808970,58
2026-09-27,24,93,50,1467188,23
2026-09-28,54,77,48,1169342,42
2026-09-29,44,99,58,1542870,43
2026-09-30,21,87,60,1254935,20
2026-10-01,58,74,52,1022705,27
2026-10-02,30,125,69,2034555,28
2026-10-03,55,187,87,3613180,53
2026-10-04,19,97,57,1257050,18
2026-10-05,32,90,54,1589020,29
2026-10-06,22,69,44,1073725,20
2026-10-07,29,74,49,1061755,26
2026-10-08,20,133,71,1952360,18
2026-10-09,42,129,80,1971120,42
2026-10-10,41,175,87,3844540,38
2026-10-11,44,166,91,3305935,44
2026-10-12,20,105,50,1564470,19
2026-10-13,20,86,54,1161605,19
2026-10-14,18,33,21,651270,18
2026-10-15,19,78,52,1390910,17
2026-10-16,38,129,81,2069568,37
2026-10-17,56,164,82,3272799,55
2026-10-18,31,132,88,2037150,23
2026-10-19,31,106,91,1947550,25
2026-10-20,22,106,69,1384670,17
2026-10-21,19,104,75,1340830,19
2026-10-22,28,148,103,2183010,28
2026-10-23,47,146,86,1985210,42
2026-10-24,35,156,99,2807375,29
2026-10-25,36,140,86,2297800,28
2026-10-26,47,93,79,1399440,30
2026-10-27,15,80,65,1363020,13
2026-10-28,14,64,61,850400,11
2026-10-29,17,61,53,1016380,16
2026-10-30,27,126,71,1842560,23
2026-10-31,43,135,70,2725755,38
2026-11-01,55,66,45,1476750,25
2026-11-02,22,69,29,1478280,21
2026-11-03,5,19,10,354690,5
2026-11-04,12,57,35,989000,11
2026-11-05,9,57,55,990700,8
2026-11-06,16,87,63,907550,13
2026-11-07,23,102,39,1764210,23
2026-11-08,19,56,43,1374341,16
2026-11-09,31,61,35,1943001,30
2026-11-10,15,72,37,1497341,15
2026-11-11,17,92,39,1448641,14
2026-11-12,24,70,71,1771991,23
2026-11-13,30,147,71,3056100,30
2026-11-14,35,162,73,4340175,34
2026-11-15,41,116,60,2165000,29
2026-11-16,20,64,34,1154830,18
2026-11-17,15,89,42,1382160,15
2026-11-18,19,117,68,2098900,17
2026-11-19,24,84,57,1263551,23
2026-11-20,31,100,53,2339541,27
2026-11-21,30,122,54,1872150,25
2026-11-22,28,175,75,3942149,27
2026-11-23,30,110,47,1752336,23
2026-11-24,19,54,31,1340466,11
2026-11-25,13,115,67,1803500,13
2026-11-26,15,98,58,1898050,12
2026-11-27,28,102,53,1295460,26
2026-11-28,21,90,49,1865450,20
2026-11-29,16,44,21,975950,15
2026-11-30,14,83,67,1662300,14
2026-12-01,44,26,57,481490,10
2026-12-02,10,132,57,1817950,10
2026-12-03,15,20,17,142450,15
2026-12-04,22,79,59,1213700,20
2026-12-05,26,97,38,2597960,26
2026-12-06,23,82,53,829400,15
2026-12-07,21,20,35,394750,9
2026-12-08,7,49,30,1229810,7
2026-12-09,11,51,29,1000100,11
2026-12-10,12,94,53,1381050,12
2026-12-11,10,56,35,1091310,10
2026-12-12,11,106,47,1825414,10
2026-12-13,21,63,52,1599010,12
2026-12-14,10,39,24,950650,7
2026-12-15,1,7,7,58850,1
2026-12-16,5,13,9,169050,4
2026-12-17,5,30,32,566050,5
2026-12-18,5,12,6,338400,5
2026-12-19,6,20,8,388850,6
2026-12-20,3,8,4,105600,3
