date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-02-16,46,67,47,1060550,43
2026-02-17,43,73,50,1164830,36
2026-02-18,56,117,78,2070136,54
2026-02-19,66,143,91,1999581,64
2026-02-20,69,154,103,2116260,67
2026-02-21,45,101,49,2850927,43
2026-02-22,64,159,78,3910750,54
2026-02-23,37,83,39,2187790,23
2026-02-24,43,72,60,745284,34
2026-02-25,36,87,77,1755460,34
2026-02-26,51,78,73,638040,51
2026-02-27,48,148,99,2609210,45
2026-02-28,38,107,53,2905640,38
2026-03-01,28,67,50,1138320,24
2026-03-02,70,163,114,2910320,67
2026-03-03,127,155,118,2054210,65
2026-03-04,72,102,83,1510310,70
2026-03-05,67,111,95,1471990,67
2026-03-06,73,154,114,2293660,73
2026-03-07,94,170,121,3328570,94
2026-03-08,65,135,101,2049830,63
2026-03-09,59,74,60,1111330,54
2026-03-10,67,99,87,1568980,59
2026-03-11,49,76,86,763287,49
2026-03-12,65,71,67,1324120,38
2026-03-13,57,127,81,2719851,52
2026-03-14,46,141,90,3065251,46
2026-03-15,45,122,75,2207096,45
2026-03-16,38,72,39,1108560,36
2026-03-17,37,112,81,1786200,36
2026-03-18,23,46,30,763740,23
2026-03-19,38,83,83,1716280,37
2026-03-20,86,199,128,3536242,86
2026-03-21,69,144,90,2874422,62
2026-03-22,60,70,47,807410,33
2026-03-23,40,88,60,1170731,37
2026-03-24,32,86,75,1112151,32
2026-03-25,38,84,70,1084495,37
2026-03-26,84,138,91,2864725,72
2026-03-27,53,125,73,2080455,40
2026-03-28,53,141,84,2378815,53
2026-03-29,41,97,69,1547960,41
2026-03-30,44,68,62,1054614,36
2026-03-31,18,54,45,624830,18
2026-04-01,83,42,30,510850,24
2026-04-02,23,40,30,524990,23
2026-04-03,31,83,48,1011840,26
2026-04-04,22,80,37,1081370,22
2026-04-05,34,80,46,1064860,25
2026-04-06,27,85,48,1146420,25
2026-04-07,53,128,78,1833930,53
2026-04-08,22,92,58,1282046,19
2026-04-09,11,31,20,567926,11
2026-04-10,24,93,49,1000281,24
2026-04-11,28,77,41,1510820,28
2026-04-12,31,104,71,1562650,21
2026-04-13,24,97,57,1263120,18
2026-04-14,12,17,16,172525,9
2026-04-15,26,31,25,169775,17
2026-04-16,11,20,17,233018,9
2026-04-17,24,90,55,1272848,21
2026-04-18,79,170,94,2008803,78
2026-04-19,21,29,17,422582,13
2026-04-20,18,36,29,521980,18
2026-04-21,13,70,46,400187,13
2026-04-22,7,17,12,199760,7
2026-04-23,9,19,13,294470,9
2026-04-24,6,44,25,675360,6
2026-04-25,20,43,21,766684,20
2026-04-26,6,58,33,982300,6
2026-04-27,2,5,3,180000,2
2026-04-28,5,9,6,120890,5
2026-04-29,5,9,6,101200,5
2026-04-30,10,16,11,204600,10
2026-05-01,41,30,15,625810,13
2026-05-02,30,68,29,1391448,26
2026-05-03,46,101,51,2194938,45
2026-05-04,33,88,48,1974168,31
2026-05-05,15,41,21,900858,15
2026-05-06,8,9,9,76670,8
2026-05-07,9,12,12,127710,8
2026-05-08,6,41,24,560230,5
2026-05-09,7,88,37,1462770,7
2026-05-10,23,21,12,428734,11
2026-05-11,5,42,24,567100,3
2026-05-12,4,11,6,277500,4
2026-05-13,3,14,5,232200,3
2026-05-14,2,16,5,30400,2
2026-05-15,5,9,5,322860,5
2026-05-16,9,25,10,561100,9
2026-05-17,10,32,10,783800,9
