date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-09-18,51,84,48,1389988,42
2026-09-19,100,262,104,5149262,90
2026-09-20,65,241,103,5331014,57
2026-09-21,87,245,100,5377361,86
2026-09-22,90,256,100,4819700,90
2026-09-23,29,106,57,1997420,24
2026-09-24,42,74,46,1432906,40
2026-09-25,58,122,70,2103060,44
2026-09-26,62,165,80,2808970,58
2026-09-27,24,93,50,1467188,23
2026-09-28,54,77,48,1169342,42
2026-09-29,44,99,58,1542870,43
2026-09-30,21,87,60,1254935,20
2026-10-01,57,72,51,974305,26
2026-10-02,29,124,68,1952055,27
2026-10-03,54,185,86,3576120,52
2026-10-04,18,95,56,1220650,17
2026-10-05,31,89,53,1538420,28
2026-10-06,21,67,43,986525,19
2026-10-07,29,74,49,1061755,26
2026-10-08,20,133,71,1952360,18
2026-10-09,42,129,80,1971120,42
2026-10-10,44,184,90,3898090,41
2026-10-11,44,166,91,3305935,44
2026-10-12,20,105,50,1564470,19
2026-10-13,20,86,54,1161605,19
2026-10-14,18,33,21,651270,18
2026-10-15,18,75,51,1296910,16
2026-10-16,38,129,81,2069568,37
2026-10-17,56,161,82,3098399,55
2026-10-18,32,134,89,2153750,24
2026-10-19,32,107,92,1997850,26
2026-10-20,22,106,69,1384670,17
2026-10-21,19,104,75,1340830,19
2026-10-22,28,148,103,2183010,28
2026-10-23,47,146,86,1985210,42
2026-10-24,35,156,99,2807375,29
2026-10-25,36,140,86,2292740,28
2026-10-26,48,94,80,1454540,31
2026-10-27,14,78,64,1314620,12
2026-10-28,14,64,61,850400,11
2026-10-29,18,62,54,1057630,17
2026-10-30,25,120,70,1851810,22
2026-10-31,42,127,68,2638755,37
2026-11-01,55,66,45,1476750,25
2026-11-02,21,64,28,1320380,20
2026-11-03,5,19,10,354690,5
2026-11-04,12,57,35,989000,11
2026-11-05,9,57,55,990700,8
2026-11-06,16,87,63,907550,13
2026-11-07,23,102,39,1764210,23
2026-11-08,19,56,43,1374341,16
2026-11-09,30,59,34,1751801,29
2026-11-10,15,72,37,1497341,15
2026-11-11,16,89,38,1303441,13
2026-11-12,24,70,71,1771991,23
2026-11-13,30,147,71,3056100,30
2026-11-14,35,162,73,4340175,34
2026-11-15,41,116,60,2165000,29
2026-11-16,20,64,34,1154830,18
2026-11-17,15,89,42,1345960,15
2026-11-18,18,115,67,2013100,16
2026-11-19,23,82,56,1229951,22
2026-11-20,28,95,50,2100441,24
2026-11-21,30,122,54,1872150,25
2026-11-22,28,175,75,3882249,27
2026-11-23,31,112,48,1861336,24
2026-11-24,19,54,31,1340466,11
2026-11-25,13,115,67,1803500,13
2026-11-26,15,98,58,1898050,12
2026-11-27,28,102,53,1295460,26
2026-11-28,20,86,48,1755750,19
2026-11-29,16,44,21,975950,15
2026-11-30,14,83,67,1662300,14
2026-12-01,44,26,57,481490,10
2026-12-02,8,125,55,1739850,8
2026-12-03,15,20,17,142450,15
2026-12-04,21,77,58,1180700,19
2026-12-05,26,97,38,2597960,26
2026-12-06,22,80,52,798600,14
2026-12-07,21,20,35,394750,9
2026-12-08,7,49,30,1229810,7
2026-12-09,10,49,28,951700,10
2026-12-10,10,91,51,1339800,10
2026-12-11,10,56,35,1091310,10
2026-12-12,10,104,46,1677614,9
2026-12-13,20,61,51,1561610,11
2026-12-14,9,37,23,919850,6
2026-12-15,1,7,7,58850,1
2026-12-16,4,11,8,136050,3
2026-12-17,4,23,28,458250,4
